episode,reward,model,reward_mean
0,-8.099999999999998,dqn,
1,-7.499999999999998,dqn,
2,-9.299999999999999,dqn,
3,-8.099999999999998,dqn,
4,-8.7,dqn,
5,-5.699999999999998,dqn,
6,-7.499999999999998,dqn,
7,-8.099999999999998,dqn,
8,-9.299999999999999,dqn,
9,-9.299999999999999,dqn,
10,-8.099999999999998,dqn,
11,-8.7,dqn,
12,-8.7,dqn,
13,-8.7,dqn,
14,-8.7,dqn,
15,-8.7,dqn,
16,-8.7,dqn,
17,-9.299999999999999,dqn,
18,-8.7,dqn,
19,-8.099999999999998,dqn,
20,-8.099999999999998,dqn,
21,-8.7,dqn,
22,-8.099999999999998,dqn,
23,-8.7,dqn,
24,-8.7,dqn,
25,-9.299999999999999,dqn,
26,-8.7,dqn,
27,-8.7,dqn,
28,-8.7,dqn,
29,-8.7,dqn,
30,-8.7,dqn,
31,-8.7,dqn,
32,-8.099999999999998,dqn,
33,-8.099999999999998,dqn,
34,-8.099999999999998,dqn,
35,-8.099999999999998,dqn,
36,-5.699999999999998,dqn,
37,-7.499999999999998,dqn,
38,-2.099999999999998,dqn,
39,-6.899999999999999,dqn,
40,0.9000000000000004,dqn,
41,-6.899999999999999,dqn,
42,6.099999999999994,dqn,
43,4.1999999999999975,dqn,
44,8.599999999999985,dqn,
45,4.699999999999996,dqn,
46,3.8999999999999986,dqn,
47,3.0000000000000018,dqn,
48,3.8999999999999986,dqn,
49,3.8999999999999986,dqn,-5.882
50,3.8999999999999986,dqn,-5.6419999999999995
51,3.8999999999999986,dqn,-5.413999999999999
52,3.8999999999999986,dqn,-5.15
53,6.199999999999994,dqn,-4.864
54,3.8999999999999986,dqn,-4.612
55,-8.099999999999998,dqn,-4.66
56,3.8999999999999986,dqn,-4.432
57,3.8999999999999986,dqn,-4.192
58,3.6999999999999993,dqn,-3.932
59,6.299999999999994,dqn,-3.62
60,3.8999999999999986,dqn,-3.38
61,3.8999999999999986,dqn,-3.1280000000000006
62,-2.699999999999998,dqn,-3.008000000000001
63,3.8999999999999986,dqn,-2.7560000000000002
64,3.8999999999999986,dqn,-2.5040000000000004
65,3.8999999999999986,dqn,-2.2520000000000007
66,3.8999999999999986,dqn,-2.0000000000000004
67,4.399999999999997,dqn,-1.7260000000000004
68,6.5999999999999925,dqn,-1.4200000000000006
69,3.8999999999999986,dqn,-1.1800000000000008
70,3.8999999999999986,dqn,-0.9400000000000008
71,3.8999999999999986,dqn,-0.6880000000000009
72,2.0000000000000013,dqn,-0.4860000000000009
73,3.8999999999999986,dqn,-0.23400000000000096
74,4.999999999999995,dqn,0.03999999999999893
75,3.3000000000000007,dqn,0.2919999999999989
