episode,reward,model,reward_mean
238,200.0,dqn,176.16
239,200.0,dqn,179.46
240,200.0,dqn,181.04
241,200.0,dqn,182.04
242,200.0,dqn,185.54
243,200.0,dqn,188.52
244,200.0,dqn,189.84
245,200.0,dqn,191.06
246,200.0,dqn,191.58
247,200.0,dqn,192.28
248,200.0,dqn,192.58
249,200.0,dqn,193.28
250,200.0,dqn,193.6
251,200.0,dqn,193.96
252,200.0,dqn,194.72
253,200.0,dqn,195.02
254,200.0,dqn,195.18
255,200.0,dqn,195.76
256,200.0,dqn,195.76
257,200.0,dqn,196.08
258,200.0,dqn,196.24
259,200.0,dqn,196.42
260,200.0,dqn,199.9
261,200.0,dqn,200.0
262,200.0,dqn,200.0
263,200.0,dqn,200.0
264,200.0,dqn,200.0
265,200.0,dqn,200.0
266,200.0,dqn,200.0
267,200.0,dqn,200.0
268,200.0,dqn,200.0
269,200.0,dqn,200.0
270,200.0,dqn,200.0
271,200.0,dqn,200.0
272,200.0,dqn,200.0
273,200.0,dqn,200.0
274,200.0,dqn,200.0
275,200.0,dqn,200.0
276,200.0,dqn,200.0
277,200.0,dqn,200.0
278,200.0,dqn,200.0
279,200.0,dqn,200.0
280,200.0,dqn,200.0
281,200.0,dqn,200.0
282,200.0,dqn,200.0
283,200.0,dqn,200.0
284,200.0,dqn,200.0
285,200.0,dqn,200.0
286,200.0,dqn,200.0
287,200.0,dqn,200.0
288,200.0,dqn,200.0
289,200.0,dqn,200.0
290,200.0,dqn,200.0
291,200.0,dqn,200.0
292,200.0,dqn,200.0
293,200.0,dqn,200.0
294,200.0,dqn,200.0
295,200.0,dqn,200.0
0,200.0,dqn,
1,200.0,dqn,
2,200.0,dqn,
3,200.0,dqn,
4,200.0,dqn,
5,200.0,dqn,
6,200.0,dqn,
7,200.0,dqn,
8,200.0,dqn,
9,200.0,dqn,
10,200.0,dqn,
11,200.0,dqn,
12,200.0,dqn,
13,200.0,dqn,
14,200.0,dqn,
15,200.0,dqn,
16,200.0,dqn,
17,200.0,dqn,
18,200.0,dqn,
19,200.0,dqn,
20,200.0,dqn,
21,200.0,dqn,
22,200.0,dqn,
23,200.0,dqn,
24,200.0,dqn,
25,200.0,dqn,
26,200.0,dqn,
27,200.0,dqn,
28,200.0,dqn,
29,200.0,dqn,
30,200.0,dqn,
31,200.0,dqn,
32,200.0,dqn,
33,200.0,dqn,
34,200.0,dqn,
35,200.0,dqn,
36,200.0,dqn,
37,200.0,dqn,
38,200.0,dqn,
39,200.0,dqn,
40,200.0,dqn,
41,200.0,dqn,
42,200.0,dqn,
43,200.0,dqn,
44,200.0,dqn,
45,200.0,dqn,
46,200.0,dqn,
47,200.0,dqn,
48,200.0,dqn,
49,200.0,dqn,200.0
50,200.0,dqn,200.0
51,200.0,dqn,200.0
52,200.0,dqn,200.0
53,200.0,dqn,200.0
54,200.0,dqn,200.0
55,200.0,dqn,200.0
56,200.0,dqn,200.0
57,200.0,dqn,200.0
58,200.0,dqn,200.0
59,200.0,dqn,200.0
60,200.0,dqn,200.0
61,200.0,dqn,200.0
62,200.0,dqn,200.0
63,200.0,dqn,200.0
64,200.0,dqn,200.0
65,200.0,dqn,200.0
66,200.0,dqn,200.0
67,200.0,dqn,200.0
68,200.0,dqn,200.0
69,200.0,dqn,200.0
70,200.0,dqn,200.0
71,200.0,dqn,200.0
72,200.0,dqn,200.0
73,200.0,dqn,200.0
74,200.0,dqn,200.0
75,200.0,dqn,200.0
76,200.0,dqn,200.0
77,200.0,dqn,200.0
78,200.0,dqn,200.0
79,200.0,dqn,200.0
80,200.0,dqn,200.0
81,200.0,dqn,200.0
82,200.0,dqn,200.0
83,200.0,dqn,200.0
84,200.0,dqn,200.0
85,200.0,dqn,200.0
86,200.0,dqn,200.0
87,200.0,dqn,200.0
88,200.0,dqn,200.0
89,200.0,dqn,200.0
90,200.0,dqn,200.0
91,200.0,dqn,200.0
92,200.0,dqn,200.0
93,200.0,dqn,200.0
94,200.0,dqn,200.0
95,200.0,dqn,200.0
96,200.0,dqn,200.0
97,200.0,dqn,200.0
98,200.0,dqn,200.0
99,200.0,dqn,200.0
100,200.0,dqn,200.0
0,200.0,dqn,
1,200.0,dqn,
2,200.0,dqn,
3,200.0,dqn,
4,200.0,dqn,
5,200.0,dqn,
6,200.0,dqn,
7,200.0,dqn,
8,200.0,dqn,
9,200.0,dqn,
10,200.0,dqn,
11,200.0,dqn,
12,200.0,dqn,
13,200.0,dqn,
14,200.0,dqn,
15,200.0,dqn,
16,200.0,dqn,
17,200.0,dqn,
18,200.0,dqn,
19,200.0,dqn,
20,200.0,dqn,
21,200.0,dqn,
22,200.0,dqn,
23,200.0,dqn,
24,200.0,dqn,
25,200.0,dqn,
26,200.0,dqn,
27,200.0,dqn,
28,200.0,dqn,
29,200.0,dqn,
30,200.0,dqn,
31,200.0,dqn,
32,200.0,dqn,
33,200.0,dqn,
34,200.0,dqn,
35,200.0,dqn,
36,200.0,dqn,
37,200.0,dqn,
38,200.0,dqn,
39,200.0,dqn,
40,200.0,dqn,
41,200.0,dqn,
